restaurant_name,name,rating,review
Medja Restaurant,Tasya Khalida,5.0,"['beauti', 'restaur', 'excel', 'food', 'tast', 'interior', 'love', 'interior', 'realli', 'boost', 'mood', 'indoor', 'semi', 'outdoor', 'area', 'nice', 'ac', 'temperatur', 'comfort', 'place', 'talk', 'eat', 'take', 'pictur', 'price', 'worthi', 'compar', 'tast', 'place', 'one', 'menu', 'big', 'portion', 'share', 'peopl', 'worth']"
Medja Restaurant,Dewi Indiani,5.0,"['came', 'christma', 'day', 'dinner', 'queue', 'pretti', 'long', 'yet', 'decid', 'keep', 'wait', 'sure', 'would', 'long', 'normal', 'day', 'turn', 'servic', 'worth', 'wait', 'food', 'came', 'quickli', 'although', 'order', 'advanc', 'wait', 'staff', 'help', 'accommod', 'food', 'good', 'advertis', 'oxtail', 'soup', 'superb']"
Medja Restaurant,Josh H,4.0,"['first', 'time', 'lunch', 'park', 'space', 'big', 'enough', 'car', 'food', 'vs', 'price', 'fit', 'premium', 'price', 'place', 'food', 'qualiti', 'toilet', 'man', 'woman', 'littl', 'number', 'pax', 'place', 'actual', 'nice', 'outdoor', 'seat', 'recommend', 'think', 'toilet', 'number', 'food', 'qualiti', 'park', 'space']"
Medja Restaurant,XY Fuwa,5.0,"['food', 'tast', 'good', 'place', 'fanci', 'place', 'took', 'photo', 'good', 'place', 'hangout', 'friend', 'colleagu', 'indoor', 'outdoor', 'room', 'clean', 'restaur', 'pool', 'surround', 'good', 'servic', 'nice', 'kind', 'employe', 'good', 'covid', 'protocol', 'tabl', 'got', 'bottl', 'hand', 'sanit', 'clean', 'toilet', 'free', 'wifi', 'might', 'need', 'wait', 'time', 'went', 'weekend', 'holiday', 'went', 'weekday', 'face', 'wait', 'time', 'accept', 'cashless', 'payment']"
Medja Restaurant,Rachel Mustika,5.0,"['bitterballen', 'drink', 'drink', 'blue', 'ocean', 'mint', 'tea', 'coffe', 'food', 'drink', 'delici', 'environ', 'quit', 'cool', 'even', 'though', 'outdoor', 'price', 'quit', 'pricey', 'like', 'cafe', 'suggest', 'come', 'earli', 'need', 'wait']"
Medja Restaurant,jouhara assofa,5.0,"['excel', 'servic', 'far', 'tast', 'food', 'good', 'mayb', 'could', 'say', 'price', 'quit', 'pricey', 'worth', 'tast', 'good', 'highlight', 'servic', 'staff', 'good', 'hospit', 'also', 'gave', 'ice', 'cream', 'apolog', 'order', 'took', 'come', 'go', 'bogor', 'must', 'visit', 'medja', 'restaur']"
Medja Restaurant,Raditya Nandiasa,4.0,"['food', 'tast', 'black', 'pepper', 'beef', 'fri', 'noodl', 'tumi', 'daun', 'pepaya', 'way', 'salti', 'like', 'matcha', 'latt', 'sweet', 'even', 'sweet', 'tooth', 'nice', 'place', 'ambienc', 'honest', 'star']"
Medja Restaurant,Catur J. Sutrisno,4.0,"['perfect', 'place', 'hang', 'excel', 'ambient', 'delici', 'food', 'beverag', 'huge', 'park', 'lot', 'manag', 'busi', 'realli', 'well', 'queue', 'friendli', 'staff', 'indoor', 'outdoor', 'area', 'also', 'mini', 'swim', 'pool', 'take', 'pictur']"
Medja Restaurant,Agnes Sugiarto,2.0,"['tri', 'medja', 'restaur', 'alway', 'cancel', 'due', 'crowd', 'queue', 'visit', 'friend', 'order', 'iga', 'sapi', 'bakar', 'grill', 'rib', 'serv', 'mash', 'potato', 'cream', 'spinach', 'sate', 'platter', 'mix', 'skewer', 'chicken', 'beef', 'shrimp', 'squid', 'tahu', 'sumpel', 'bean', 'curd', 'stuf', 'veggi', 'meat', 'medja', 'style', 'nasi', 'hijau', 'season', 'green', 'rice', 'opinion', 'medja', 'food', 'pretti', 'nice', 'howev', 'get', 'hype', 'sinc', 'tast', 'wise', 'spectacular', 'ambienc', 'place', 'pretti', 'cozi', 'nice', 'mayb', 'match', 'palat', 'visit', 'medja', 'restaur', 'gon', 'na', 'rate', 'info', 'food', 'kindli', 'visit', 'asmunchkin', 'ig']"
Medja Restaurant,Langga Calvareno,5.0,"['amaz', 'restaur', 'bogor', 'citi', 'west', 'java', 'build', 'interior', 'atmospher', 'lightn', 'awesom', 'servic', 'good', 'staff', 'realli', 'friendli', 'nice', 'food', 'realli', 'good', 'plate', 'tast', 'price', 'okay', 'bit', 'expens', 'worth', 'park', 'lot', 'good', 'spaciou']"
